State,Constituency,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,1,AYAN MANDAL,All India Trinamool Congress,1717,4,1721
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,2,KULDEEP RAI SHARMA,Indian National Congress,95249,59,95308
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,3,PRAKASH MINJ,Bahujan Samaj Party,2478,8,2486
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,4,VISHAL JOLLY,Bharatiya Janata Party,93772,129,93901
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,5,SANJAY MESHACK,Aam Aadmi Party,2837,2,2839
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,6,C G SAJI KUMAR,All India Hindustan Congress Party,212,0,212
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,7,K KALIMUTHU,Independent,269,6,275
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,8,V V KHALID,Independent,305,1,306
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,9,GOUR CHANDRA MAJUMDER,Independent,221,0,221
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,10,PARITOSH KUMAR HALDAR,Independent,5339,2,5341
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,11,MINATI BISWAS,Independent,615,3,618
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,12,C U RASHEED,Independent,272,1,273
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,13,K VENKAT RAM BABU,Independent,914,0,914
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,14,S SUDERSHAN RAO,Independent,475,0,475
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,15,HENRY,Independent,994,0,994
Andaman & Nicobar Islands,Andaman & Nicobar Islands ,16,NOTA,None of the Above,1411,1,1412
Andhra Pradesh,Amalapuram,1,AYYAJI VEMA MANEPALLI,Bharatiya Janata Party,11358,158,11516
Andhra Pradesh,Amalapuram,2,GANTI HARISH MADHUR (BALAYOGI),Telugu Desam,442774,2573,445347
Andhra Pradesh,Amalapuram,3,CHINTA ANURADHA,Yuvajana Sramika Rythu Congress Party,481358,3955,485313
Andhra Pradesh,Amalapuram,4,JANGA GOUTHAM,Indian National Congress,7840,38,7878
Andhra Pradesh,Amalapuram,5,CHELLE RAJANI,Jana Jagruti Party,1228,0,1228
Andhra Pradesh,Amalapuram,6,PANTHAGADA VIJAYA CHAKRAVARTHY,Republican Party of India (Khobragade),1801,0,1801
Andhra Pradesh,Amalapuram,7,MURALIKRISHNA KANDERI,India Praja Bandhu Party,1801,1,1802
Andhra Pradesh,Amalapuram,8,MORTHA SIVA RAMA KRISHNA,Pyramid Party of India,1946,4,1950
Andhra Pradesh,Amalapuram,9,D M R SEKHAR,Janasena Party,253271,1577,254848
Andhra Pradesh,Amalapuram,10,REVU SUDHAKAR,Independent,2770,1,2771
Andhra Pradesh,Amalapuram,11,NOTA,None of the Above,16408,41,16449
Andhra Pradesh,Anakapalli,1,ADARI ANAND KUMAR,Telugu Desam,495381,1653,497034
Andhra Pradesh,Anakapalli,2,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),Bharatiya Janata Party,12888,388,13276
Andhra Pradesh,Anakapalli,3,Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,583210,3016,586226
Andhra Pradesh,Anakapalli,4,Ruthala Srirama Murthy,Indian National Congress,10072,49,10121
Andhra Pradesh,Anakapalli,5,P.S.AJAY KUMAR,Communist Party of India (Marxist-Leninist) (Liberation),2708,8,2716
Andhra Pradesh,Anakapalli,6,K B SWAROOP,Jana Jagruti Party,1615,6,1621
Andhra Pradesh,Anakapalli,7,Chintala Partha Sarathi,Janasena Party,82126,462,82588
Andhra Pradesh,Anakapalli,8,Taadi Veera Jagadeeshwari,Pyramid Party of India,1801,2,1803
Andhra Pradesh,Anakapalli,9,Vadlamuri Krishna Swaroop,Dalita Bahujana Party,4443,1,4444
Andhra Pradesh,Anakapalli,10,Appala Naidu Tummagunta,Independent,3760,5,3765
Andhra Pradesh,Anakapalli,11,NOTA,None of the Above,34877,20,34897
Andhra Pradesh,Anantapur,1,D.JAGADEESH,Communist Party of India,20192,102,20294
Andhra Pradesh,Anantapur,2,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,690901,4307,695208
Andhra Pradesh,Anantapur,3,J.C. PAVAN REDDY,Telugu Desam,550597,3183,553780
Andhra Pradesh,Anantapur,4,K.RAJIV REDDY,Indian National Congress,29994,85,30079
Andhra Pradesh,Anantapur,5,HAMSA DEVINENI,Bharatiya Janata Party,7440,164,7604
Andhra Pradesh,Anantapur,6,GADIDAMA RANGANAYAKULU,Vishwa Jana Party,728,0,728
Andhra Pradesh,Anantapur,7,P.RADHA KRISHNA,Radical Democrats,1219,1,1220
Andhra Pradesh,Anantapur,8,G. LALITHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),890,9,899
Andhra Pradesh,Anantapur,9,M.VENKATESULU,Pyramid Party of India,1043,5,1048
Andhra Pradesh,Anantapur,10,S.V.P. YADAV,Independent,4398,0,4398
Andhra Pradesh,Anantapur,11,P. RANGAIAH,Independent,3580,8,3588
Andhra Pradesh,Anantapur,12,L. RANGAIAH,Independent,1688,3,1691
Andhra Pradesh,Anantapur,13,VADDE KASINATH,Independent,2063,3,2066
Andhra Pradesh,Anantapur,14,SOMANATH DESHMUKH,Independent,3236,1,3237
Andhra Pradesh,Anantapur,15,NOTA,None of the Above,16406,60,16466
Andhra Pradesh,Aruku,1,KISHORE CHANDRA DEO,Telugu Desam,336163,1938,338101
Andhra Pradesh,Aruku,2,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,Bharatiya Janata Party,17578,289,17867
Andhra Pradesh,Aruku,3,GODDETI. MADHAVI,Yuvajana Sramika Rythu Congress Party,557561,4629,562190
Andhra Pradesh,Aruku,4,SHRUTI DEVI VYRICHERLA,Indian National Congress,17656,74,17730
Andhra Pradesh,Aruku,5,GANGULAIAH VAMPURU.,Janasena Party,42245,549,42794
Andhra Pradesh,Aruku,6,SWAMULA. SUBRAHMANYAM,Jana Jagruti Party,4705,5,4710
Andhra Pradesh,Aruku,7,ANUMULA VAMSIKRISHNA,Independent,10211,29,10240
Andhra Pradesh,Aruku,8,KANGALA BALUDORA,Independent,13810,16,13826
Andhra Pradesh,Aruku,9,NARAVA SATYAVATHI,Independent,11231,5,11236
Andhra Pradesh,Aruku,10,BIDDIKA RAMAYYA.,Independent,7863,4,7867
Andhra Pradesh,Aruku,11,NOTA,None of the Above,47955,22,47977
Andhra Pradesh,Bapatla,1,CHALLAGALI KISHORE KUMAR,Bharatiya Janata Party,9842,509,10351
Andhra Pradesh,Bapatla,2,K. DEVANAND,Bahujan Samaj Party,42262,318,42580
Andhra Pradesh,Bapatla,3,NANDIGAM SURESH,Yuvajana Sramika Rythu Congress Party,592250,6007,598257
Andhra Pradesh,Bapatla,4,MALYADRI SRIRAM,Telugu Desam,577403,4789,582192
Andhra Pradesh,Bapatla,5,J.D. SEELAM,Indian National Congress,12941,214,13155
Andhra Pradesh,Bapatla,6,KUMAR KATTEPOGU,Pyramid Party of India,877,8,885
Andhra Pradesh,Bapatla,7,GADDE HARI BABU,Navodayam Party,521,9,530
Andhra Pradesh,Bapatla,8,CHINA NAGESWARA RAO SADHU,Mundadugu Praja Party,463,3,466
Andhra Pradesh,Bapatla,9,THUMATI RAVI,All Peoples Party,368,2,370
Andhra Pradesh,Bapatla,10,NUTHAKKI RAMA RAO,All India Praja Party,600,6,606
Andhra Pradesh,Bapatla,11,GELLA NAGAMALLI,Independent,651,4,655
Andhra Pradesh,Bapatla,12,GOLLA BABURAO,Independent,1271,5,1276
Andhra Pradesh,Bapatla,13,BUSSA NAGARAJU,Independent,1943,8,1951
Andhra Pradesh,Bapatla,14,NOTA,None of the Above,13178,40,13218
Andhra Pradesh,Chittoor,1,CHEEMALA. RANGAPPA,Indian National Congress,24497,146,24643
Andhra Pradesh,Chittoor,2,JAYARAM DUGGANI,Bharatiya Janata Party,10137,359,10496
Andhra Pradesh,Chittoor,3,NARAMALLI SIVA PRASAD,Telugu Desam,545374,4147,549521
Andhra Pradesh,Chittoor,4,C. PUNYAMURTHY,Bahujan Samaj Party,19952,110,20062
Andhra Pradesh,Chittoor,5,N. REDDEPPA,Yuvajana Sramika Rythu Congress Party,681325,5467,686792
Andhra Pradesh,Chittoor,6,PALLIPATTU. ABHINAV VISHNU,Mundadugu Praja Party,3441,4,3445
Andhra Pradesh,Chittoor,7,P. RAMACHANDRAN,Independent,1854,9,1863
Andhra Pradesh,Chittoor,8,A. HEMANTH,Independent,2089,5,2094
Andhra Pradesh,Chittoor,9,NOTA,None of the Above,20503,53,20556
Andhra Pradesh,Eluru,1,KOTAGIRI SRIDHAR,Yuvajana Sramika Rythu Congress Party,672834,3975,676809
Andhra Pradesh,Eluru,2,CHINNAM RAMA KOTAYYA,Bharatiya Janata Party,8317,95,8412
Andhra Pradesh,Eluru,3,JETTI GURUNADHA RAO,Indian National Congress,20284,94,20378
Andhra Pradesh,Eluru,4,MAGANTTI VENKATESWARA RAO BABU,Telugu Desam,509549,1335,510884
Andhra Pradesh,Eluru,5,CHINA VENKATA SURYANARAYANA JOSYULA,Pyramid Party of India,2932,3,2935
Andhra Pradesh,Eluru,6,PENTAPATI PULLARAO,Janasena Party,76481,346,76827
Andhra Pradesh,Eluru,7,MATHE. BOBBY,Republican Party of India (A),1871,8,1879
Andhra Pradesh,Eluru,8,V. SIVA RAMA KRISHNA,Jana Jagruti Party,1261,0,1261
Andhra Pradesh,Eluru,9,ALAGA. RAVI KUMAR,Independent,1648,0,1648
Andhra Pradesh,Eluru,10,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),Independent,3010,0,3010
Andhra Pradesh,Eluru,11,NOTA,None of the Above,23861,19,23880
Andhra Pradesh ,Guntur,1,Jayadev Galla,Telugu Desam,586292,1626,587918
Andhra Pradesh ,Guntur,2,Jayaprakash Narayana Valluru,Bharatiya Janata Party,11667,174,11841
Andhra Pradesh ,Guntur,3,Modugula Venugopala Reddy,Yuvajana Sramika Rythu Congress Party,580840,2873,583713
Andhra Pradesh ,Guntur,4,Shaik Mastanvali,Indian National Congress,14124,81,14205
Andhra Pradesh ,Guntur,5,Araveti Hazarath Rao,Pyramid Party of India,808,2,810
Andhra Pradesh ,Guntur,6,Ullagi David Jayakumar,Hardam Manavtawadi Rashtriya Dal,447,0,447
Andhra Pradesh ,Guntur,7,Jeldi Raja Mohan,All India Praja Party,437,0,437
Andhra Pradesh ,Guntur,8,Nagaraju Ekula,Republican Party of India (A),920,0,920
Andhra Pradesh ,Guntur,9,Bonaboyina Srinivasa Rao,Janasena Party,128746,459,129205
Andhra Pradesh ,Guntur,10,Mannava Hariprasad,Communist Party of India (Marxist-Leninist) Red Star,3212,4,3216
Andhra Pradesh ,Guntur,11,Ramarao Simhadri,Praja Shanthi Party,1744,2,1746
Andhra Pradesh ,Guntur,12,Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi,639,2,641
Andhra Pradesh ,Guntur,13,Sarabandi Raju Sikhinam,Indian Labour Party (Ambedkar Phule),1015,2,1017
Andhra Pradesh ,Guntur,14,Shaik Jaleel,Navarang Congress Party,560,3,563
Andhra Pradesh ,Guntur,15,Samudrala Chinna Kotaiah,National Dalitha Dhal Party,628,0,628
Andhra Pradesh ,Guntur,16,Umar Basha Shaik,Independent,2676,0,2676
Andhra Pradesh ,Guntur,17,Dasari Kiran Babu,Independent,2907,2,2909
Andhra Pradesh ,Guntur,18,Doppalapudi Veera Das,Independent,629,0,629
Andhra Pradesh ,Guntur,19,Yanamadala Venkata Suresh,Independent,1947,0,1947
Andhra Pradesh ,Guntur,20,NOTA,None of the Above,5972,34,6006
Andhra Pradesh,Hindupur,1,KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),Indian National Congress,26973,183,27156
Andhra Pradesh,Hindupur,2,KURUVA GORANTLA MADHAV,Yuvajana Sramika Rythu Congress Party,699739,6863,706602
Andhra Pradesh,Hindupur,3,KRISTAPPA . NIMMALA,Telugu Desam,561602,4252,565854
Andhra Pradesh,Hindupur,4,MITTA PARTHASARATHI,Bharatiya Janata Party,13530,275,13805
Andhra Pradesh,Hindupur,5,Ram Mohan Singamneni,Pyramid Party of India,1305,8,1313
Andhra Pradesh,Hindupur,6,S.R.Anjaneyulu,Independent,1215,12,1227
Andhra Pradesh,Hindupur,7,GOGULA PULAKUNTA JAYANTH,Independent,1578,4,1582
Andhra Pradesh,Hindupur,8,Mugi Surya Prakash,Independent,1315,1,1316
Andhra Pradesh,Hindupur,9,Ramamohan D.G.,Independent,2230,1,2231
Andhra Pradesh,Hindupur,10,NOTA,None of the Above,17356,72,17428
Andhra Pradesh,Kadapa,1,Y.S.Avinash Reddy,Yuvajana Sramika Rythu Congress Party,778267,5532,783799
Andhra Pradesh,Kadapa,2,Chadipirala Adi Narayana Reddy,Telugu Desam,400192,2631,402823
Andhra Pradesh,Kadapa,3,Gundlakunta Sreeramulu,Indian National Congress,8280,61,8341
Andhra Pradesh,Kadapa,4,Gujjula Eswaraiah,Communist Party of India,6152,90,6242
Andhra Pradesh,Kadapa,5,Sri Rama Chandra Singareddy,Bharatiya Janata Party,3917,168,4085
Andhra Pradesh,Kadapa,6,Ameen Peeran Shaik,Ambedkar National Congress,571,2,573
Andhra Pradesh,Kadapa,7,Lakshmi Reddy Putha,Rajyadhikara Party,365,3,368
Andhra Pradesh,Kadapa,8,Pedakala Varalakshmi,Pyramid Party of India,705,11,716
Andhra Pradesh,Kadapa,9,Chadipirala Siva Narayana Reddy,Navarang Congress Party,445,1,446
Andhra Pradesh,Kadapa,10,Siva Chandra Reddy Komma,Anna YSR Congress Party,1398,24,1422
Andhra Pradesh,Kadapa,11,Gona Purushottam Reddy,Independent,1131,3,1134
Andhra Pradesh,Kadapa,12,Jakku Chenna Krishna Reddy,Independent,578,1,579
Andhra Pradesh,Kadapa,13,Nyamatulla Shaik,Independent,755,4,759
Andhra Pradesh,Kadapa,14,Peddireddy Showry Subhash Reddy,Independent,865,0,865
Andhra Pradesh,Kadapa,15,Venu Gopal Rachineni,Independent,1748,0,1748
Andhra Pradesh,Kadapa,16,NOTA,None of the Above,14629,63,14692
Andhra Pradesh ,Kakinada,1,CHALAMALASETTY SUNIL,Telugu Desam,508361,3531,511892
Andhra Pradesh ,Kakinada,2,MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU),Indian National Congress,8601,39,8640
Andhra Pradesh ,Kakinada,3,YALLA VENKATA RAMA MOHAN RAO (DORABABU),Bharatiya Janata Party,9456,140,9596
Andhra Pradesh ,Kakinada,4,VANGA GEETHAVISWANATH,Yuvajana Sramika Rythu Congress Party,534655,2975,537630
Andhra Pradesh ,Kakinada,5,APPALAKONDA VANGALAPUDI,Mundadugu Praja Party,2997,0,2997
Andhra Pradesh ,Kakinada,6,B. GEETHA,Praja Shanthi Party,1687,1,1688
Andhra Pradesh ,Kakinada,7,GODUGU SATYANARAYANA,Communist Party of India (Marxist-Leninist) (Liberation),1723,1,1724
Andhra Pradesh ,Kakinada,8,JYOTHULA VENKATESWARA RAO,Janasena Party,132124,524,132648
Andhra Pradesh ,Kakinada,9,DONAM NEELAKANTAM,All India Praja Party,980,0,980
Andhra Pradesh ,Kakinada,10,PEDDIMSETTI. VENKATESWARARAO,Jana Jagruti Party,812,3,815
Andhra Pradesh ,Kakinada,11,VASAMSETTY VENKATARAMANA,All India Forward Bloc,1012,2,1014
Andhra Pradesh ,Kakinada,12,SATHI VEERALAKSHMI,Pyramid Party of India,1117,2,1119
Andhra Pradesh ,Kakinada,13,ANKADI SATHIBABU,Independent,1381,0,1381
Andhra Pradesh ,Kakinada,14,KAKILETI RAVINDRA,Independent,3325,2,3327
Andhra Pradesh ,Kakinada,15,MEDISETTI VIJAYA KUMAR,Independent,2051,0,2051
Andhra Pradesh ,Kakinada,16,NOTA,None of the Above,17117,36,17153
Andhra Pradesh,Kurnool,1,AHMED ALI KHAN,Indian National Congress,36169,89,36258
Andhra Pradesh,Kurnool,2,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,450341,3324,453665
Andhra Pradesh,Kurnool,3,Dr. PARTHASARATHI VALMIKI,Bharatiya Janata Party,24089,241,24330
Andhra Pradesh,Kurnool,4,K. PRABHAKARA REDDY,Communist Party of India (Marxist),18818,101,18919
Andhra Pradesh,Kurnool,5,AYUSHMAN DOCTOR SANJEEV KUMAR,Yuvajana Sramika Rythu Congress Party,600190,2364,602554
Andhra Pradesh,Kurnool,6,ABDUL WARIS,SOCIAL DEMOCRATIC PARTY OF INDIA,7261,4,7265
Andhra Pradesh,Kurnool,7,KASULA RAJASEKHAR,Pyramid Party of India,1223,3,1226
Andhra Pradesh,Kurnool,8,DANDU SESHU YADAV,Samajwadi Party,3264,2,3266
Andhra Pradesh,Kurnool,9,M. NAGANNA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1283,2,1285
Andhra Pradesh,Kurnool,10,S.MD. SHAFATH,Rayalaseema Rashtra Samithi,1220,1,1221
Andhra Pradesh,Kurnool,11,G Sanjeeva Kumar,Samajwadi Forward Bloc,2095,2,2097
Andhra Pradesh,Kurnool,12,HATCHOLI THOMAS,Independent,1489,7,1496
Andhra Pradesh,Kurnool,13,DEVARAPOGU MADDILETY,Independent,1696,1,1697
Andhra Pradesh,Kurnool,14,BALIJA. SHIVA KUMAR,Independent,2741,0,2741
Andhra Pradesh,Kurnool,15,T. BEECHUPALLY,Independent,9771,0,9771
Andhra Pradesh,Kurnool,16,P.V. SRIHARI,Independent,6548,3,6551
Andhra Pradesh,Kurnool,17,NOTA,None of the Above,7643,26,7669
Andhra Pradesh,Machilipatnam,1,KONAKALLA NARAYANA RAO,Telugu Desam,508570,2725,511295
Andhra Pradesh,Machilipatnam,2,GUDIVAKA RAMANJANEYULU,Bharatiya Janata Party,6355,107,6462
Andhra Pradesh,Machilipatnam,3,GOLLU KRISHNA,Indian National Congress,12207,77,12284
Andhra Pradesh,Machilipatnam,4,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,566178,5258,571436
Andhra Pradesh,Machilipatnam,5,PERAM SIVA NAGESWARA RAO,Republican Party of India (A),3620,2,3622
Andhra Pradesh,Machilipatnam,6,BANDREDDI RAMAKRISHNA,Janasena Party,112416,876,113292
Andhra Pradesh,Machilipatnam,7,YARLAGADDA RAMA MOHANA RAO,Bahujan Maha Party,1016,1,1017
Andhra Pradesh,Machilipatnam,8,VALLURU VENKATESWARA RAO,Pyramid Party of India,824,2,826
Andhra Pradesh,Machilipatnam,9,GANDHI DHANEKULA,Independent,846,0,846
Andhra Pradesh,Machilipatnam,10,NADAKUDITI NAGA GAYATHRI,Independent,771,2,773
Andhra Pradesh,Machilipatnam,11,GUDIVAKA VENKATA NAGA BASAVA RAO,Independent,895,1,896
Andhra Pradesh,Machilipatnam,12,VIJAYA LAKSHMI CHALAPAKA,Independent,4766,13,4779
Andhra Pradesh,Machilipatnam,13,NOTA,None of the Above,14043,34,14077
Andhra Pradesh,Nandyal,1,ADINARAYANA INTY,Bharatiya Janata Party,8794,272,9066
Andhra Pradesh,Nandyal,2,JANGITE LAKSHMI NARASIMHA YADAV,Indian National Congress,14313,107,14420
Andhra Pradesh,Nandyal,3,POCHA . BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,715024,5864,720888
Andhra Pradesh,Nandyal,4,MANDRA SIVANANDA REDDY,Telugu Desam,466869,3900,470769
Andhra Pradesh,Nandyal,5,D. P. JAMAL BASHA.,Anna YSR Congress Party,3981,108,4089
Andhra Pradesh,Nandyal,6,PULA. NAGAMADDILETY,Ambedkar National Congress,931,6,937
Andhra Pradesh,Nandyal,7,D. MAHAMMAD RAFI .,B. C. United Front,645,4,649
Andhra Pradesh,Nandyal,8,RUDDIREDDY RADHAKRISHNA,All India Forward Bloc,667,6,673
Andhra Pradesh,Nandyal,9,S.P.Y. REDDY,Janasena Party,38568,303,38871
Andhra Pradesh,Nandyal,10,S. A. INDUMATHI,Independent,842,5,847
Andhra Pradesh,Nandyal,11,ELLURI. BHUPAL.,Independent,667,1,668
Andhra Pradesh,Nandyal,12,K.P. KAMBAGIRISWAMY.,Independent,765,2,767
Andhra Pradesh,Nandyal,13,JESTADI SUDHAKAR,Independent,4542,0,4542
Andhra Pradesh,Nandyal,14,I.V. PAKKIR REDDY,Independent,3103,0,3103
Andhra Pradesh,Nandyal,15,POLURU GURUVAIAH.,Independent,6099,0,6099
Andhra Pradesh,Nandyal,16,BHUMA KISHOR REDDY,Independent,4848,4,4852
Andhra Pradesh,Nandyal,17,B.C. RAMANATHA REDDY,Independent,2543,0,2543
Andhra Pradesh,Nandyal,18,Dr. LAKSHMI KANTHA REDDY CHITLA,Independent,1428,1,1429
Andhra Pradesh,Nandyal,19,VANGALA PARAMESWARA REDDY.,Independent,2380,2,2382
Andhra Pradesh,Nandyal,20,C. SURENDRA NATH REDDY,Independent,1708,0,1708
Andhra Pradesh,Nandyal,21,NOTA,None of the Above,9759,32,9791
Andhra Pradesh,Narasaraopet,1,KANNA LAKSHMI NARAYANA,Bharatiya Janata Party,15237,231,15468
Andhra Pradesh,Narasaraopet,2,PAKKALA SURIBABU,Indian National Congress,10976,56,11032
Andhra Pradesh,Narasaraopet,3,RAYAPATI SAMBASIVARAO,Telugu Desam,588900,2211,591111
Andhra Pradesh,Narasaraopet,4,LAVU SRI KRISHNA DEVARAYALU,Yuvajana Sramika Rythu Congress Party,740041,5048,745089
Andhra Pradesh,Narasaraopet,5,ALLU VENKATAREDDY,Pyramid Party of India,2892,4,2896
Andhra Pradesh,Narasaraopet,6,KANAKAM SRINIVASARAO,National Nava Kranthi Party,1065,4,1069
Andhra Pradesh,Narasaraopet,7,NAYUB KAMAL SHAIK,Janasena Party,50518,295,50813
Andhra Pradesh,Narasaraopet,8,SURABHI DEVASAHAYAM,Indian Union Muslim League,423,0,423
Andhra Pradesh,Narasaraopet,9,KANTE SAYANNA,Independent,365,1,366
Andhra Pradesh,Narasaraopet,10,GADDALA VENU,Independent,623,3,626
Andhra Pradesh,Narasaraopet,11,DURGAMPUDI RAMIREDDY,Independent,2683,1,2684
Andhra Pradesh,Narasaraopet,12,PARIMI NARASIMHA RAO,Independent,999,2,1001
Andhra Pradesh,Narasaraopet,13,REDDYBOINA PRASANNA KUMAR,Independent,1394,1,1395
Andhra Pradesh,Narasaraopet,14,NOTA,None of the Above,13664,38,13702
Andhra Pradesh,Narsapuram,1,KANUMURU BAPIRAJU,Indian National Congress,13678,132,13810
Andhra Pradesh,Narsapuram,2,KANUMURU RAGHU RAMA KRISHNA RAJU,Yuvajana Sramika Rythu Congress Party,442736,4858,447594
Andhra Pradesh,Narsapuram,3,PYDIKONDALA MANIKYALA RAO,Bharatiya Janata Party,12118,260,12378
Andhra Pradesh,Narsapuram,4,V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),Telugu Desam,413674,2011,415685
Andhra Pradesh,Narsapuram,5,YELLA VENU GOPAL RAO,Nava Samaj Party,4268,2,4270
Andhra Pradesh,Narsapuram,6,GANJI PURNIMA,Republican Party of India (A),865,2,867
Andhra Pradesh,Narsapuram,7,GURUGUBILLI RAMBABU,Marxist Communist Party of India (United),582,0,582
Andhra Pradesh,Narsapuram,8,G S RAJU,Samajwadi Party,3459,3,3462
Andhra Pradesh,Narsapuram,9,DASARI KRISHNA MURTHY,India Praja Bandhu Party,1600,0,1600
Andhra Pradesh,Narsapuram,10,NALLAM SURYA CHANDRA RAO,Pyramid Party of India,2194,9,2203
Andhra Pradesh,Narsapuram,11,NAGABABU KONIDELA,Janasena Party,248675,1614,250289
Andhra Pradesh,Narsapuram,12,K.A.PAUL,Praja Shanthi Party,3018,19,3037
Andhra Pradesh,Narsapuram,13,GOTTUMUKKALA SHIVAJI,Independent,1273,0,1273
Andhra Pradesh,Narsapuram,14,NALLI RAJESH,Independent,2646,2,2648
Andhra Pradesh,Narsapuram,15,MEDAPATI VARAHALA REDDY,Independent,2674,3,2677
Andhra Pradesh,Narsapuram,16,NOTA,None of the Above,12031,35,12066
Andhra Pradesh,Nellore,1,Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,677014,6816,683830
Andhra Pradesh,Nellore,2,Chandra Rajagopal,Communist Party of India (Marxist),18571,259,18830
Andhra Pradesh,Nellore,3,Chevuru Devakumar Reddy,Indian National Congress,9973,48,10021
Andhra Pradesh,Nellore,4,Beeda Masthan Rao,Telugu Desam,529571,5688,535259
Andhra Pradesh,Nellore,5,Sannapureddy Suresh Reddy,Bharatiya Janata Party,12278,235,12513
Andhra Pradesh,Nellore,6,Chinni Venkateswarlu,Pyramid Party of India,836,5,841
Andhra Pradesh,Nellore,7,Shaik Mahaboob Basha (Mabu),Republican Party of India (A),1317,2,1319
Andhra Pradesh,Nellore,8,Kankanala Penchala Naidu,Independent,667,1,668
Andhra Pradesh,Nellore,9,Narasapuram Prasad,Independent,2397,2,2399
Andhra Pradesh,Nellore,10,Butti Nagaraju,Independent,1089,12,1101
Andhra Pradesh,Nellore,11,Meda Malla Reddy,Independent,597,1,598
Andhra Pradesh,Nellore,12,Sukapalli Naveen,Independent,1014,0,1014
Andhra Pradesh,Nellore,13,Dr. S. Suresh Babu,Independent,1482,0,1482
Andhra Pradesh,Nellore,14,NOTA,None of the Above,17128,33,17161
Andhra Pradesh,Ongole,1,THOGANTI SREENIVASULU,Bharatiya Janata Party,7587,642,8229
Andhra Pradesh,Ongole,2,MAGUNTA SREENIVASULU REDDY,Yuvajana Sramika Rythu Congress Party,729344,9858,739202
Andhra Pradesh,Ongole,3,SIDDA RAGHAVA RAO,Telugu Desam,516287,8064,524351
Andhra Pradesh,Ongole,4,DR SIRIVELLA PRASAD,Indian National Congress,8001,138,8139
Andhra Pradesh,Ongole,5,KONDA PRAVEEN KUMAR,Navodayam Party,805,6,811
Andhra Pradesh,Ongole,6,BELLAMKONDA SAIBABU,Janasena Party,29054,325,29379
Andhra Pradesh,Ongole,7,MARAM SRINIVASA REDDY,Praja Shanthi Party,3253,5,3258
Andhra Pradesh,Ongole,8,VENKATESAN BABURAO,India Praja Bandhu Party,1068,5,1073
Andhra Pradesh,Ongole,9,KAVURI VENU BABU NAIDU,Independent,564,1,565
Andhra Pradesh,Ongole,10,BILLA CHENNAIAH,Independent,671,2,673
Andhra Pradesh,Ongole,11,MADHU YATTAPU,Independent,1160,0,1160
Andhra Pradesh,Ongole,12,MOHAN AYYAPPA,Independent,1451,0,1451
Andhra Pradesh,Ongole,13,VENKATESH VEPURI,Independent,3208,4,3212
Andhra Pradesh,Ongole,14,NOTA,None of the Above,20843,22,20865
Andhra Pradesh,Rajahmundry,1,NALLURI VIJAYA SRINIVASA RAO,Indian National Congress,12678,47,12725
Andhra Pradesh,Rajahmundry,2,PARAVASTU SATYA GOPINATH DAS,Bharatiya Janata Party,12165,169,12334
Andhra Pradesh,Rajahmundry,3,MAGANTI ROOPA,Telugu Desam,459100,1290,460390
Andhra Pradesh,Rajahmundry,4,MARGANI BHARAT,Yuvajana Sramika Rythu Congress Party,578471,3553,582024
Andhra Pradesh,Rajahmundry,5,AKULA SATYANARAYANA,Janasena Party,155164,643,155807
Andhra Pradesh,Rajahmundry,6,GEDDAM DAVID NELSON BABU,Ambedkarite Party of India,1752,5,1757
Andhra Pradesh,Rajahmundry,7,BANDARU RAJESWARA RAO,Jana Jagruti Party,1034,1,1035
Andhra Pradesh,Rajahmundry,8,MEDA SRINIVAS,Rashtriya Praja Congress (Secular),994,2,996
